collection_date,displacement,shelter,displacement_adulte
2023-10-09,175500,UNRWA shelters,74907.2481885
2023-10-11,340000,UNRWA estimates,145119.45518
2023-10-11,218600,UNRWA shelters,93303.2732422
2023-10-15,1000000,UNRWA estimates,426821.92699999997
2023-10-15,400000,UNRWA shelters,170728.7708
2023-10-18,513507,UNRWA shelters,219176.047267989
2023-10-21,566000,UNRWA shelters,241581.210682
2023-10-22,600000,UNRWA shelters,256093.1562
2023-10-29,1400000,UNRWA estimates,597550.6978
2023-10-29,672000,UNRWA shelters,286824.334944
2023-10-31,690000,UNRWA shelters,294507.12963
2023-11-02,695000,UNRWA shelters,296641.239265
2023-11-04,1500000,UNRWA estimates,640232.8905
2023-11-04,710000,UNRWA shelters,303043.56817
2023-11-05,717000,UNRWA shelters,306031.321659
2023-11-06,725000,UNRWA shelters,309445.897075
2023-11-07,730000,UNRWA shelters,311580.00671
2023-11-08,1600000,UNRWA estimates,682915.0832
2023-11-08,742000,UNRWA shelters,316701.869834
2023-11-09,748000,UNRWA shelters,319262.80139599997
2023-11-11,778000,UNRWA shelters,332067.45920599997
2023-11-12,787000,UNRWA shelters,335908.856549
2023-11-13,795500,UNRWA shelters,339536.8429285
2023-11-14,813000,UNRWA shelters,347006.226651
2023-11-15,830000,UNRWA shelters,354262.19941
2023-11-18,1700000,UNRWA estimates,725597.2759
2023-11-18,884000,UNRWA shelters,377310.583468
2023-11-19,930000,UNRWA shelters,396944.39211
2023-11-20,945000,UNRWA shelters,403346.721015
2023-11-21,1037000,UNRWA shelters,442614.338299
2023-11-24,1100000,UNRWA shelters,469504.1197
2023-11-28,1800000,UNRWA estimates,768279.4686
2023-12-02,1900000,UNRWA estimates,810961.6613
2023-12-02,1200000,UNRWA shelters,512186.3124
2023-12-09,1300000,UNRWA shelters,554868.5051
2023-12-13,1400000,UNRWA shelters,597550.6978
2023-12-19,1770000,UNRWA assistance,755474.81079
2023-12-25,1370000,UNRWA shelters,584746.03999
2023-12-30,1400000,UNRWA shelters,597550.6978
2024-01-10,1400000,UNRWA shelters,597550.6978
2024-01-08,1780000,UNRWA assistance,759743.03006
2024-01-14,1900000,UNRWA assistance,810961.6613
2024-01-15,1700000,UNRWA estimates,725597.2759
2024-05-11,1700000,UNRWA estimates,725597.2759
